epoch,accuracy,loss,val_accuracy,val_loss
1,0.6364221572875977,0.9566039443016052,0.9023136496543884,0.4549911916255951
2,0.8989704251289368,0.40616855025291443,0.9048843383789062,0.27420246601104736
3,0.9279279112815857,0.2449401170015335,0.9100257158279419,0.21864630281925201
4,0.9330759048461914,0.190681591629982,0.9100257158279419,0.20242059230804443
5,0.9324324131011963,0.1728205382823944,0.9177377820014954,0.18788065016269684
6,0.9375804662704468,0.1580377072095871,0.922879159450531,0.1768803745508194
7,0.9369369149208069,0.1458306759595871,0.9254498481750488,0.17117980122566223
8,0.9446589350700378,0.1353936642408371,0.9254498481750488,0.16954360902309418
9,0.9433719515800476,0.13148312270641327,0.9280205368995667,0.16666746139526367
10,0.9478764533996582,0.12251214683055878,0.9280205368995667,0.16120998561382294
11,0.9420849680900574,0.12579035758972168,0.9280205368995667,0.16055990755558014
12,0.9440154433250427,0.12707218527793884,0.9254498481750488,0.165196031332016
